 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2017
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 20";"Cap 21";"Total"
"2017";758621;795923;102131;240825;362147;226758;113244;19978;1141015;1183372;1103062;256609;207222;799313;2418108;284309;82690;187745;1157153;32;234996;11675253
"..Janeiro/2017";66734;62437;8624;20333;30499;18144;7386;1499;91481;76348;83896;19954;15489;62694;189426;22432;5920;14964;96650;3;17063;911976
"..Fevereiro/2017";65498;61157;8082;19473;29661;18011;7318;1598;88259;74121;82802;19955;15728;63379;185010;21933;6140;14807;91454;3;16922;891311
"..Março/2017";69105;66126;8795;20569;31292;18942;8423;1656;93423;98864;91245;22383;17080;67498;206925;24661;6743;15623;97636;3;19358;986350
"..Abril/2017";63272;63465;8317;19179;29713;18570;8018;1525;88947;104471;86793;20488;16384;63726;201476;23447;6488;14978;90565;3;18806;948631
"..Maio/2017";64581;68226;8570;19856;31110;19712;8951;1737;96915;117751;93721;21832;17713;67215;213824;25612;7103;15919;98674;3;20157;1019182
"..Junho/2017";61503;66821;8280;19204;30095;18955;9033;1698;93890;118940;91756;21528;17147;64575;208699;23879;6928;15098;93147;3;20218;991397
"..Julho/2017";61108;67751;8162;19976;29162;19058;9588;1678;98012;114328;92920;21256;17956;65668;206707;23788;7240;15503;97170;3;20217;997251
"..Agosto/2017";60647;69437;8470;20436;30398;19339;10847;1721;102404;106501;97558;22134;18582;69039;206283;23949;7647;15755;99075;2;21536;1011760
"..Setembro/2017";60777;67081;8493;20618;30428;19160;10455;1728;99587;99544;95713;21875;17913;68343;203781;23128;7306;16315;98465;3;20078;990791
"..Outubro/2017";62901;67986;8878;20844;30236;19284;10793;1776;97725;96805;96457;22456;18392;70143;201349;24212;7325;16597;100272;1;20603;995035
"..Novembro/2017";61560;68307;8744;20545;30102;19124;11450;1729;96675;91086;95654;21606;17580;69967;197222;23458;7175;16164;97339;3;20014;975504
"..Dezembro/2017";60935;67129;8716;19792;29451;18459;10982;1633;93697;84613;94547;21142;17258;67066;197406;23810;6675;16022;96706;2;20024;956065
"Total";758621;795923;102131;240825;362147;226758;113244;19978;1141015;1183372;1103062;256609;207222;799313;2418108;284309;82690;187745;1157153;32;234996;11675253
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
