 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2023
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"2023";789285;1018458;128880;246144;345957;263517;160495;25360;1284804;1315780;1415649;312260;251360;995624;2220486;349676;92513;258099;1472411;408376;13355134
"Janeiro/2023";67790;79291;10522;20779;28617;21461;10441;1666;104345;83101;108764;24182;18245;77185;192364;28921;7020;20759;120262;26696;1052411
"Fevereiro/2023";64487;75140;9913;19778;27861;20259;10834;1691;98869;83103;106323;23469;18128;75457;180955;27161;6815;19528;116182;26494;1012447
"Março/2023";71797;86354;11025;20843;29555;22399;12950;1965;107939;106797;117443;26312;20711;84152;199495;30975;7791;21518;122134;30001;1132156
"Abril/2023";68319;80981;10561;20121;28504;21566;11836;1869;101623;118071;111508;24574;19877;78755;187252;28113;7335;20718;114575;29743;1085901
"Maio/2023";69367;85368;10746;20375;28190;21953;13168;2142;109050;134907;118704;26081;21194;81843;194691;30370;7687;21002;121146;33299;1151283
"Junho/2023";64287;86722;10330;19666;28403;21691;13553;2209;106679;134801;117995;25505;21347;80266;188004;29161;7709;21396;119694;33820;1133238
"Julho/2023";63688;87049;10559;20081;28329;22107;14574;2226;114222;130478;120303;25788;21067;82615;187821;29496;8152;21695;124289;36081;1150620
"Agosto/2023";63986;91236;11200;20939;29852;23262;15033;2321;114256;120910;127179;27367;23058;88896;187574;30336;8668;22773;128848;38473;1176167
"Setembro/2023";62379;87499;10835;20246;29205;22167;14078;2357;109217;109935;124515;26715;21725;85847;179692;28903;8055;22062;124696;37749;1127877
"Outubro/2023";63669;87815;10991;21066;29702;22360;15740;2358;108951;104261;124887;27294;22213;87179;177538;29269;8148;22228;126837;39796;1132302
"Novembro/2023";64649;86376;10991;21105;28852;22272;14482;2373;105296;99158;121936;27391;22366;87479;174395;28941;7706;22313;126545;38735;1113361
"Dezembro/2023";64867;84627;11207;21145;28887;22020;13806;2183;104357;90258;116092;27582;21429;85950;170705;28030;7427;22107;127203;37489;1087371
"Total";789285;1018458;128880;246144;345957;263517;160495;25360;1284804;1315780;1415649;312260;251360;995624;2220486;349676;92513;258099;1472411;408376;13355134
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
