ano,mes,mes_nome,capitulo,grupo_cid,aih
2016,1,Jan,Cap 01,Infeccioso/Parasitário,77263
2016,1,Jan,Cap 02,Neoplasias,60236
2016,1,Jan,Cap 03,Sangue/Imunidade,8462
2016,1,Jan,Cap 04,Endócrino/Metabólico,21975
2016,1,Jan,Cap 05,Mental/Comportamental,27592
2016,1,Jan,Cap 06,Nervoso,16622
2016,1,Jan,Cap 07,Olho/Anexos,7293
2016,1,Jan,Cap 08,Ouvido,1545
2016,1,Jan,Cap 09,Cardiovascular,92102
2016,1,Jan,Cap 10,Respiratório,71089
2016,1,Jan,Cap 11,Digestivo,86911
2016,1,Jan,Cap 12,Pele/Subcutâneo,20546
2016,1,Jan,Cap 13,Osteomuscular,15588
2016,1,Jan,Cap 14,Geniturinário,64343
2016,1,Jan,Cap 15,Materno/Perinatal,199722
2016,1,Jan,Cap 16,Perinatal,21404
2016,1,Jan,Cap 17,Congênito,6219
2016,1,Jan,Cap 18,Sintomas/Sinais,14190
2016,1,Jan,Cap 19,Lesões/Traumas,92256
2016,1,Jan,Cap 20,Causas Externas,0
2016,1,Jan,Cap 21,Fatores de Saúde,16354
2016,2,Fev,Cap 01,Infeccioso/Parasitário,88594
2016,2,Fev,Cap 02,Neoplasias,58545
2016,2,Fev,Cap 03,Sangue/Imunidade,8267
2016,2,Fev,Cap 04,Endócrino/Metabólico,21556
2016,2,Fev,Cap 05,Mental/Comportamental,24350
2016,2,Fev,Cap 06,Nervoso,15158
2016,2,Fev,Cap 07,Olho/Anexos,7354
2016,2,Fev,Cap 08,Ouvido,1494
2016,2,Fev,Cap 09,Cardiovascular,87434
2016,2,Fev,Cap 10,Respiratório,71330
2016,2,Fev,Cap 11,Digestivo,84701
2016,2,Fev,Cap 12,Pele/Subcutâneo,20631
2016,2,Fev,Cap 13,Osteomuscular,15384
2016,2,Fev,Cap 14,Geniturinário,63214
2016,2,Fev,Cap 15,Materno/Perinatal,193417
2016,2,Fev,Cap 16,Perinatal,20694
2016,2,Fev,Cap 17,Congênito,6200
2016,2,Fev,Cap 18,Sintomas/Sinais,14540
2016,2,Fev,Cap 19,Lesões/Traumas,88906
2016,2,Fev,Cap 20,Causas Externas,0
2016,2,Fev,Cap 21,Fatores de Saúde,16690
2016,3,Mar,Cap 01,Infeccioso/Parasitário,90114
2016,3,Mar,Cap 02,Neoplasias,67554
2016,3,Mar,Cap 03,Sangue/Imunidade,8956
2016,3,Mar,Cap 04,Endócrino/Metabólico,22881
2016,3,Mar,Cap 05,Mental/Comportamental,26342
2016,3,Mar,Cap 06,Nervoso,17290
2016,3,Mar,Cap 07,Olho/Anexos,9165
2016,3,Mar,Cap 08,Ouvido,1747
2016,3,Mar,Cap 09,Cardiovascular,96860
2016,3,Mar,Cap 10,Respiratório,100223
2016,3,Mar,Cap 11,Digestivo,95815
2016,3,Mar,Cap 12,Pele/Subcutâneo,23133
2016,3,Mar,Cap 13,Osteomuscular,18509
2016,3,Mar,Cap 14,Geniturinário,69609
2016,3,Mar,Cap 15,Materno/Perinatal,212519
2016,3,Mar,Cap 16,Perinatal,22771
2016,3,Mar,Cap 17,Congênito,7320
2016,3,Mar,Cap 18,Sintomas/Sinais,15777
2016,3,Mar,Cap 19,Lesões/Traumas,95402
2016,3,Mar,Cap 20,Causas Externas,0
2016,3,Mar,Cap 21,Fatores de Saúde,20460
2016,4,Abr,Cap 01,Infeccioso/Parasitário,78340
2016,4,Abr,Cap 02,Neoplasias,62078
2016,4,Abr,Cap 03,Sangue/Imunidade,8198
2016,4,Abr,Cap 04,Endócrino/Metabólico,20468
2016,4,Abr,Cap 05,Mental/Comportamental,25060
2016,4,Abr,Cap 06,Nervoso,15867
2016,4,Abr,Cap 07,Olho/Anexos,8614
2016,4,Abr,Cap 08,Ouvido,1608
2016,4,Abr,Cap 09,Cardiovascular,89231
2016,4,Abr,Cap 10,Respiratório,116117
2016,4,Abr,Cap 11,Digestivo,88245
2016,4,Abr,Cap 12,Pele/Subcutâneo,21360
2016,4,Abr,Cap 13,Osteomuscular,16905
2016,4,Abr,Cap 14,Geniturinário,65165
2016,4,Abr,Cap 15,Materno/Perinatal,204461
2016,4,Abr,Cap 16,Perinatal,22316
2016,4,Abr,Cap 17,Congênito,6570
2016,4,Abr,Cap 18,Sintomas/Sinais,14770
2016,4,Abr,Cap 19,Lesões/Traumas,93196
2016,4,Abr,Cap 20,Causas Externas,0
2016,4,Abr,Cap 21,Fatores de Saúde,18622
2016,5,Mai,Cap 01,Infeccioso/Parasitário,67988
2016,5,Mai,Cap 02,Neoplasias,66367
2016,5,Mai,Cap 03,Sangue/Imunidade,7797
2016,5,Mai,Cap 04,Endócrino/Metabólico,19704
2016,5,Mai,Cap 05,Mental/Comportamental,24639
2016,5,Mai,Cap 06,Nervoso,16660
2016,5,Mai,Cap 07,Olho/Anexos,9481
2016,5,Mai,Cap 08,Ouvido,1676
2016,5,Mai,Cap 09,Cardiovascular,95788
2016,5,Mai,Cap 10,Respiratório,124596
2016,5,Mai,Cap 11,Digestivo,92614
2016,5,Mai,Cap 12,Pele/Subcutâneo,21299
2016,5,Mai,Cap 13,Osteomuscular,18013
2016,5,Mai,Cap 14,Geniturinário,65686
2016,5,Mai,Cap 15,Materno/Perinatal,208164
2016,5,Mai,Cap 16,Perinatal,22562
2016,5,Mai,Cap 17,Congênito,7048
2016,5,Mai,Cap 18,Sintomas/Sinais,14942
2016,5,Mai,Cap 19,Lesões/Traumas,95107
2016,5,Mai,Cap 20,Causas Externas,0
2016,5,Mai,Cap 21,Fatores de Saúde,19200
2016,6,Jun,Cap 01,Infeccioso/Parasitário,61281
2016,6,Jun,Cap 02,Neoplasias,65909
2016,6,Jun,Cap 03,Sangue/Imunidade,7612
2016,6,Jun,Cap 04,Endócrino/Metabólico,19752
2016,6,Jun,Cap 05,Mental/Comportamental,25086
2016,6,Jun,Cap 06,Nervoso,16507
2016,6,Jun,Cap 07,Olho/Anexos,9386
2016,6,Jun,Cap 08,Ouvido,1636
2016,6,Jun,Cap 09,Cardiovascular,98224
2016,6,Jun,Cap 10,Respiratório,123524
2016,6,Jun,Cap 11,Digestivo,90866
2016,6,Jun,Cap 12,Pele/Subcutâneo,20808
2016,6,Jun,Cap 13,Osteomuscular,17939
2016,6,Jun,Cap 14,Geniturinário,64715
2016,6,Jun,Cap 15,Materno/Perinatal,195110
2016,6,Jun,Cap 16,Perinatal,21688
2016,6,Jun,Cap 17,Congênito,7029
2016,6,Jun,Cap 18,Sintomas/Sinais,14597
2016,6,Jun,Cap 19,Lesões/Traumas,93005
2016,6,Jun,Cap 20,Causas Externas,0
2016,6,Jun,Cap 21,Fatores de Saúde,19701
2016,7,Jul,Cap 01,Infeccioso/Parasitário,61852
2016,7,Jul,Cap 02,Neoplasias,64220
2016,7,Jul,Cap 03,Sangue/Imunidade,7602
2016,7,Jul,Cap 04,Endócrino/Metabólico,19812
2016,7,Jul,Cap 05,Mental/Comportamental,26500
2016,7,Jul,Cap 06,Nervoso,16273
2016,7,Jul,Cap 07,Olho/Anexos,9355
2016,7,Jul,Cap 08,Ouvido,1647
2016,7,Jul,Cap 09,Cardiovascular,98467
2016,7,Jul,Cap 10,Respiratório,112109
2016,7,Jul,Cap 11,Digestivo,89536
2016,7,Jul,Cap 12,Pele/Subcutâneo,20591
2016,7,Jul,Cap 13,Osteomuscular,17179
2016,7,Jul,Cap 14,Geniturinário,63323
2016,7,Jul,Cap 15,Materno/Perinatal,194011
2016,7,Jul,Cap 16,Perinatal,21946
2016,7,Jul,Cap 17,Congênito,7013
2016,7,Jul,Cap 18,Sintomas/Sinais,14273
2016,7,Jul,Cap 19,Lesões/Traumas,96694
2016,7,Jul,Cap 20,Causas Externas,0
